GAME_ID,VISITOR_TEAM_ID,HOME_TEAM_ID,TEAM_A,TEAM_H,GAME_DATE_EST,SEASON,Spread,Total,OREB,PTS_home,FT_PCT_home,AST_home,PTS_away,FT_PCT_away,AST_away,FTA_H,STL_H,BLK_H,PF_H,FTA_A,STL_A,BLK_A,PF_A,POSS_H,POSS_A,eFG_PCT_H,eFG_PCT_A,TO_PCT_H,TO_PCT_A,DREB_PCT_H,DREB_PCT_A,W_PCT_H,W_PCT_A
20900776,1610612757,1610612756,Portland,Phoenix,2/10/10,2009,-7,209,15,101,0.789,21,108,0.789,21,19,4,1,18,19,10,8,19,93.4656,86.7456,0.518240964,0.603461039,0.160486853,0.126807584,0.8125,0.763157895,0.585,0.564
20900777,1610612747,1610612762,L.A. Lakers,Utah,2/10/10,2009,-15,177,18,81,0.52,19,96,0.792,19,25,10,6,19,24,9,7,22,89.28,91.7376,0.453346667,0.5005,0.17921147,0.185311148,0.756756757,0.790697674,0.627,0.759
20900778,1610612746,1610612744,L.A. Clippers,Golden State,2/10/10,2009,30,234,19,132,0.75,36,102,0.808,22,28,7,2,21,26,7,2,20,93.4272,93.5424,0.702291139,0.459801136,0.128442252,0.117593733,0.734693878,0.793103448,0.275,0.404
20900779,1610612753,1610612739,Orlando,Cleveland,2/11/10,2009,9,221,19,115,0.72,28,106,0.774,18,25,6,2,23,31,4,4,20,86.4,89.8944,0.577571429,0.546733333,0.069444444,0.144614125,0.783783784,0.717948718,0.796,0.667
20900780,1610612759,1610612743,San Antonio,Denver,2/11/10,2009,-19,203,22,92,0.75,19,111,0.667,24,36,6,6,23,30,8,3,29,95.8464,91.392,0.411,0.590480519,0.156500401,0.186011905,0.647058824,0.76744186,0.66,0.588
20900781,1610612751,1610612766,New Jersey,Charlotte,2/16/10,2009,-9,197,23,94,0.808,20,103,0.7,18,26,7,8,23,20,2,8,22,91.6224,88.128,0.450845679,0.549851852,0.152801062,0.15885984,0.675675676,0.760869565,0.5,0.094
20900782,1610612748,1610612755,Miami,Philadelphia,2/16/10,2009,-27,183,25,78,0.647,19,105,0.8,26,17,10,5,15,20,4,7,17,84.9408,87.168,0.384724138,0.542512195,0.070637432,0.149137298,0.657894737,0.764705882,0.377,0.5
20900783,1610612750,1610612765,Minnesota,Detroit,2/16/10,2009,23,193,18,108,0.571,37,85,0.606,21,21,10,4,27,33,6,1,19,92.3904,89.7792,0.558232558,0.46445,0.119059989,0.189353436,0.80952381,0.75,0.365,0.241
20900784,1610612752,1610612741,New York,Chicago,2/16/10,2009,33,203,16,118,0.692,30,85,0.786,13,13,10,9,18,28,8,3,13,92.8512,92.4672,0.634098837,0.389209877,0.1076992,0.151405039,0.8,0.84375,0.5,0.365
20900785,1610612756,1610612763,Phoenix,Memphis,2/16/10,2009,-14,204,25,95,0.622,17,109,0.724,26,37,9,3,23,29,7,9,26,98.1888,93.8496,0.400438889,0.536621951,0.112029071,0.138519504,0.756097561,0.727272727,0.5,0.593
20900786,1610612742,1610612760,Dallas,Oklahoma City,2/16/10,2009,13,185,24,99,0.733,22,86,0.826,21,30,4,10,18,23,4,7,21,91.392,96.1152,0.469707317,0.360596774,0.098476891,0.12485018,0.736842105,0.808510638,0.596,0.604
20900787,1610612762,1610612745,Utah,Houston,2/16/10,2009,-9,199,21,95,0.909,25,104,0.833,30,22,12,5,25,24,11,10,22,96.6528,95.5776,0.474607595,0.531658228,0.23796517,0.209254051,0.72972973,0.75,0.519,0.635
20900788,1610612746,1610612757,L.A. Clippers,Portland,2/16/10,2009,22,196,22,109,0.781,25,87,0.533,15,32,15,3,19,15,2,5,22,86.4768,85.056,0.55972,0.526666667,0.104074156,0.246896163,0.641025641,0.764705882,0.571,0.396
20900789,1610612738,1610612758,Boston,Sacramento,2/16/10,2009,-3,187,19,92,0.633,21,95,0.839,19,30,6,11,23,31,7,7,23,94.272,94.6944,0.434571429,0.43120625,0.127291242,0.137283725,0.822222222,0.770833333,0.34,0.647
20900790,1610612744,1610612747,Golden State,L.A. Lakers,2/16/10,2009,10,198,14,104,0.71,21,94,0.737,24,31,8,3,20,19,8,3,25,102.3744,102.1056,0.482329412,0.476464286,0.185593273,0.166494296,0.933333333,0.75,0.764,0.269
20900791,1610612759,1610612754,San Antonio,Indiana,2/17/10,2009,-3,177,25,87,0.8,14,90,0.765,18,15,7,10,16,17,7,4,19,90.816,97.4208,0.45210241,0.389393939,0.143146582,0.123176981,0.696428571,0.829787234,0.34,0.596
20900792,1610612765,1610612753,Detroit,Orlando,2/17/10,2009,25,207,20,116,0.846,26,91,0.741,21,26,6,9,18,27,6,2,26,91.6224,92.0448,0.573006098,0.44373125,0.120057977,0.162964122,0.738095238,0.756756757,0.673,0.358
20900793,1610612763,1610612761,Memphis,Toronto,2/17/10,2009,-7,211,16,102,0.826,25,109,0.697,22,23,2,8,24,33,5,6,18,94.1952,95.5392,0.465808989,0.518114458,0.084930018,0.09420217,0.825,0.816326531,0.547,0.509
20900794,1610612750,1610612764,Minnesota,Washington,2/17/10,2009,9,207,32,108,0.607,24,99,0.783,14,28,13,7,20,23,8,4,22,93.4272,90.3552,0.516818182,0.512677215,0.160552815,0.210281201,0.674418605,0.617021277,0.353,0.236
20900795,1610612748,1610612751,Miami,New Jersey,2/17/10,2009,-3,171,27,84,0.821,16,87,0.706,16,28,8,5,21,34,6,5,23,88.6272,85.4016,0.362982143,0.42577027,0.124115396,0.14051259,0.733333333,0.727272727,0.093,0.509
20900796,1610612741,1610612752,Chicago,New York,2/17/10,2009,-6,224,30,109,0.813,25,115,0.788,16,16,5,4,25,33,6,5,18,94.1184,95.5392,0.522217391,0.494666667,0.116874065,0.136069802,0.608695652,0.739130435,0.358,0.509
20900797,1610612745,1610612749,Houston,Milwaukee,2/17/10,2009,-28,226,20,99,0.72,19,127,0.73,25,25,9,4,26,37,6,7,21,98.88,96.2688,0.430617021,0.694166667,0.131472492,0.176588884,0.84375,0.716981132,0.462,0.528
20900798,1610612762,1610612740,Utah,New Orleans,2/17/10,2009,-8,188,17,90,0.722,22,98,0.864,26,18,13,5,22,22,9,7,16,96.8832,91.8528,0.4371875,0.564407143,0.165147311,0.239513657,0.8125,0.765957447,0.519,0.642
