NBA Total Projections,,,,,,,,,,,,,,
Stats,Home,Away,Weight Total H,Weight Total A,,,Weight Spread H,Weight Spread A,,,Weight OREB H,Weight OREB A,,
Team,LA Lakers,Memphis,,,,,,,,,,,,
Free Throws Attempted H/A,24.1,21.5,0.061383383,0,1.47933953,0,0.122642287,-0.001378882,2.955679117,-0.029645963,-0.062078741,0.014623673,-1.496097658,0.31440897
Opp Free Throws Attempted TY,18,21.8,0,0,0,0,,,0,0,,,0,0
Opp Free Throws Attempted L3,18.7,29.7,0,0,0,0,-0.036737117,0.020809502,-0.686984088,0.618042209,,,0,0
Opp Free Throws Attempted H/A,17.7,22.2,0,0,0,0,,0.085735411,0,1.903326124,0.0272745,,0.48275865,0
,0,0,0,0,0,0,,,0,0,,,0,0
BPG TY,5.5,21,0,0,0,0,,,0,0,,,0,0
BPG L3,3.3,19.3,0,0,0,0,,,0,0,,0.05464023,0,1.054556439
BPG H/A,5.2,21.5,0,0,0,0,,-0.088320676,0,-1.898894534,0.097986928,0.22297751,0.509532026,4.794016465
Opp BPG TY,4.7,21.8,0,0,0,0,,,0,0,,,0,0
Opp BPG L3,2.7,29.7,0,0,0,0,-0.13986924,,-0.377646948,0,,0.006233945,0,0.185148167
Opp BPG H/A,4.8,22.2,0,0,0,0,,0.139479482,0,3.0964445,,,0,0
,,,,,96.67339424,158.4459581,,,17.68801294,-10.3097217,,,32.66295294,-8.402455646
,,,,,255.1193523,,,,7.378291244,,,,24.26049729,
